V1,V3,V4,gene1,gene2,hct116.T21.gi.GEMINI,GM.T15.gi.GEMINI,hct116.significant.GEMINI,GM12878.significant.GEMINI
choose,ENSG00000184254,ENSG00000128918,ALDH1A3,ALDH1A2,0.187,0.272,N,N
choose,ENSG00000187554,ENSG00000137462,TLR5,TLR2,0.331,0.157,N,N
choose,ENSG00000134343,ENSG00000177119,ANO3,ANO6,-0.015,0.357,N,N
choose,ENSG00000213983,ENSG00000166747,AP1G2,AP1G1,0.177,0.063,N,N
choose,ENSG00000152642,ENSG00000167588,GPD1L,GPD1,0.347,0.234,N,N
choose,ENSG00000205744,ENSG00000213047,DENND1C,DENND1B,-0.067,0.263,N,N
choose,ENSG00000120738,ENSG00000122877,EGR1,EGR2,0.114,0.784,N,N
choose,ENSG00000204311,ENSG00000105928,DFNB59,DFNA5,0.2,-0.178,N,N
choose,ENSG00000114378,ENSG00000106302,HYAL1,HYAL4,-0.003,-0.119,N,N
choose,ENSG00000157110,ENSG00000166831,RBPMS,RBPMS2,-0.19,0.256,N,N
choose,ENSG00000198722,ENSG00000137766,UNC13B,UNC13C,-0.113,0.065,N,N
choose,ENSG00000115808,ENSG00000090372,STRN,STRN4,-0.21,0.037,N,N
choose,ENSG00000120910,ENSG00000138814,PPP3CC,PPP3CA,0.343,-0.229,N,N
choose,ENSG00000197943,ENSG00000124181,PLCG2,PLCG1,0.078,0.266,N,N
choose,ENSG00000137177,ENSG00000197892,KIF13A,KIF13B,-0.286,-0.032,N,N
gi2,ENSG00000123374,ENSG00000137764,CDK2,MAP2K5,-1.796,0.239,N,N
choose,ENSG00000214063,ENSG00000011105,TSPAN4,TSPAN9,0.243,0.077,N,N
choose,ENSG00000147364,ENSG00000156804,FBXO25,FBXO32,0.069,-0.072,N,N
choose,ENSG00000159086,ENSG00000005436,PAXBP1,GCFC2,-0.379,-0.447,N,N
choose,ENSG00000158863,ENSG00000151553,FAM160B2,FAM160B1,0.389,0.263,N,N
gi1,ENSG00000137193,ENSG00000102096,PIM1,PIM2,-0.317,0.252,N,N
choose,ENSG00000068079,ENSG00000123609,IFI35,NMI,0.021,0.213,N,N
choose,ENSG00000140443,ENSG00000171105,IGF1R,INSR,-0.884,-0.305,N,N
choose,ENSG00000109436,ENSG00000133138,TBC1D9,TBC1D8B,0.281,0.235,N,N
