gene1,gene2,type,similarity.BMA,similarity.rcmax
WDR20,DMWD,Others,0.2,0.25
WDR62,MAPKBP1,Others,0.484,0.537
ZDHHC18,ZDHHC14,Others,0.737,0.75
ZDHHC7,ZDHHC3,Others,0.689,0.698
ZNF302,ZNF181,Others,0.694,0.75
ZNF324B,ZNF324,Others,0.586,0.75
ZNF562,ZNF561,Others,0.674,0.745
ZNF587B,ZNF552,Others,0.57,0.64
ZNF773,ZNF419,Others,0.75,0.75
AGPAT4,AGPAT3,Others,0.602,0.714
AMMECR1L,AMMECR1,Others,0.357,0.75
ANXA2,ANXA1,Others,0.616,0.624
AP1G2,AP1G1,Others,0.592,0.708
AP3B2,AP3B1,Others,0.407,0.667
ATG4B,ATG4A,Others,0.586,0.75
BCAT2,BCAT1,Others,0.651,0.681
CERS3,CERS2,Others,0.694,0.705
CERS6,CERS5,Others,0.694,0.75
CNOT6L,CNOT6,Others,0.718,0.75
DENND5B,DENND5A,Others,0.531,0.75
DENND6B,DENND6A,Others,0.65,0.75
DGKH,DGKD,Others,0.647,0.706
DNASE1L2,DNASE1,Others,0.636,0.677
DYRK1B,DYRK1A,Others,0.63,0.724
FAM168B,FAM168A,Others,0,0
FAR2,FAR1,Others,0.679,0.75
FBXL20,FBXL2,Others,0.564,0.7
FBXO32,FBXO25,Others,0.3,0.5
FSCN2,FSCN1,Others,0.462,0.703
GALNT13,GALNT1,Others,0.661,0.708
GATA3,GATA2,Others,0.636,0.674
GPD1L,GPD1,Others,0.492,0.656
GPSM2,GPSM1,Others,0.488,0.587
HEY2,HEY1,Others,0.715,0.737
HOXB7,HOXA7,Others,0.675,0.717
HS6ST3,HS6ST1,Others,0.412,0.75
IDI2,IDI1,Others,0.696,0.74
JAG2,JAG1,Others,0.548,0.647
KIF13B,KIF13A,Others,0.6,0.626
KLF7,KLF6,Others,0.636,0.661
KLHL3,KLHL2,Others,0.541,0.625
LANCL2,LANCL1,Others,0.512,0.536
LRIG3,LRIG2,Others,0.714,0.75
LRRN3,LRRN1,Others,0.6,0.75
MAN2A2,MAN2A1,Others,0.635,0.75
MPP7,MPP3,Others,0.172,0.75
MSX2,MSX1,Others,0.648,0.666
NECAP2,NECAP1,Others,0.51,0.75
NSG2,NSG1,Others,0.635,0.714
NT5M,NT5C,Others,0.514,0.651
PDE8B,PDE8A,Others,0.613,0.679
PHIP,BRWD3,Others,0.606,0.75
PHYKPL,ETNPPL,Others,0.454,0.461
PRKCQ,PRKCD,Others,0.621,0.673
PTGS2,PTGS1,Others,0.618,0.633
PTPN4,PTPN3,Others,0.64,0.678
RALYL,RALY,Others,0.635,0.667
RBM38,RBM24,Others,0.519,0.639
RFX3,RFX2,Others,0.709,0.75
RHOBTB2,RHOBTB1,Others,0.75,0.75
RIMKLB,RIMKLA,Others,0.705,0.75
RIT2,RIT1,Others,0.662,0.748
RNF144B,RNF144A,Others,0.661,0.663
SFMBT2,SFMBT1,Others,0.649,0.649
SH3BGRL2,SH3BGRL,Others,0.25,0.25
SIPA1L2,SIPA1L1,Others,0.654,0.75
SLC18A2,SLC18A1,Others,0.638,0.75
SLC25A13,SLC25A12,Others,0.735,0.737
SLC25A30,SLC25A14,Others,0.609,0.654
SLC35D2,SLC35D1,Others,0.637,0.688
STXBP2,STXBP1,Others,0.667,0.682
TBC1D8B,TBC1D8,Others,0.557,0.559
TBX18,TBX15,Others,0.636,0.75
TNFAIP8L2,TNFAIP8L1,Others,0.642,0.646
TSPAN9,TSPAN4,Others,0.544,0.551
TTC21B,TTC21A,Others,0.596,0.661
TUSC3,MAGT1,Others,0.698,0.729
WIPI2,WIPI1,Others,0.684,0.717
YBX3,YBX1,Others,0.601,0.661
ZNF396,ZNF24,Others,0.572,0.583
ZYG11B,ZYG11A,Others,0.333,0.75
ABCB7,ABCB6,Others,0.522,0.579
ABCF3,ABCF1,Others,0.446,0.688
ABHD12B,ABHD12,Others,0.619,0.75
ACSF3,ACSF2,Others,0.609,0.652
ACTR1B,ACTG1,Others,0.476,0.582
ADAM17,ADAM10,Others,0.643,0.657
ADAMTSL3,ADAMTSL1,Others,0.583,0.625
AGAP3,AGAP1,Others,0.312,0.417
AGAP9,AGAP1,Others,0.375,0.75
AGFG2,AGFG1,Others,0.266,0.277
AHRR,AHR,Others,0.643,0.75
AK8,AK2,Others,0.558,0.594
AKT2,AKT1,Others,0.658,0.73
ANKRD12,ANKRD11,Others,0.375,0.75
ANXA7,ANXA11,Others,0.614,0.632
APC2,APC,Others,0.631,0.691
APPL2,APPL1,Others,0.686,0.718
ARHGEF12,ARHGEF11,Others,0.697,0.699
ASAH2B,ASAH2,Others,0.494,0.75
ASIC3,ASIC1,Others,0.64,0.696
ASXL3,ASXL1,Others,0.632,0.717
ATAD3B,ATAD3A,Others,0.511,0.518
ATG2B,ATG2A,Others,0.662,0.675
ATP7B,ATP7A,Others,0.676,0.68
ATXN2L,ATXN2,Others,0.669,0.714
