gene1,gene2,type,similarity.BMA,similarity.rcmax
SLC7A7,SLC7A6,Others,0.639,0.724
SLC9A4,SLC9A2,Others,0.75,0.75
SLC9B2,SLC9B1,Others,0.343,0.75
SMAD3,SMAD2,Others,0.682,0.706
SMOC2,SMOC1,Others,0.493,0.601
SMOX,PAOX,Others,0.673,0.688
SMYD2,SMYD1,Others,0.558,0.678
SNAP25,SNAP23,Others,0.648,0.663
SNCB,SNCA,Others,0.58,0.716
SNTB1,SNTA1,Others,0.554,0.679
SNX3,SNX12,Others,0.615,0.69
SNX6,SNX32,Others,0.456,0.75
SORCS3,SORCS1,Others,0.562,0.667
SOX2,SOX1,Others,0.578,0.75
SOX21,SOX14,Others,0.691,0.745
SOX6,SOX5,Others,0.701,0.71
SP4,SP2,Others,0.665,0.682
SP9,SP8,Others,0.75,0.75
SPAG11B,SPAG11A,Others,0.441,0.75
SPAM1,HYAL1,Others,0.388,0.617
SPOCK3,SPOCK1,Others,0.336,0.441
SPRR1B,SPRR1A,Others,0.697,0.722
SPRR2B,SPRR2A,Others,0.594,0.75
SPRY2,SPRY1,Others,0.645,0.712
SRGAP1,ARHGAP4,Others,0.69,0.708
SRGAP2C,SRGAP2B,Others,0.426,0.75
SRI,GCA,Others,0.547,0.631
SRPK3,SRPK2,Others,0.492,0.688
SRSF6,SRSF5,Others,0.666,0.717
SRSF9,SRSF1,Others,0.69,0.714
SSTR4,SSTR1,Others,0.721,0.739
ST6GALNAC6,ST6GALNAC5,Others,0.563,0.75
ST8SIA4,ST8SIA2,Others,0.749,0.75
STAG3,STAG2,Others,0.615,0.647
STAMBPL1,STAMBP,Others,0.593,0.75
STAT4,STAT3,Others,0.545,0.748
STAT5B,STAT5A,Others,0.715,0.716
STEAP1B,STEAP1,Others,0.45,0.583
STEAP3,STEAP2,Others,0.576,0.624
STK4,STK3,Others,0.721,0.742
STOML3,STOM,Others,0.44,0.511
STRN4,STRN,Others,0.676,0.709
STX3,STX1B,Others,0.615,0.735
STXBP3,STXBP1,Others,0.691,0.697
STXBP5L,STXBP5,Others,0.684,0.694
SULF1,GNS,Others,0.464,0.494
SULF2,SULF1,Others,0.698,0.75
SUV39H2,SUV39H1,Others,0.649,0.687
SYNGAP1,DAB2IP,Others,0.361,0.75
SYNGR3,SYNGR1,Others,0.551,0.627
SYP,SYNPR,Others,0.545,0.75
SYPL2,SYP,Others,0.479,0.587
SYT4,SYT11,Others,0.68,0.72
SYTL3,SYTL1,Others,0.643,0.75
TAB3,TAB2,Others,0.679,0.721
TACR3,TACR1,Others,0.698,0.75
TAF15,FUS,Others,0.684,0.705
TAOK2,TAOK1,Others,0.654,0.664
TAOK3,TAOK1,Others,0.659,0.701
TAS2R40,TAS2R39,Others,0.75,0.75
TAX1BP1,CALCOCO1,Others,0.395,0.44
TBC1D2B,TBC1D2,Others,0.675,0.75
TBC1D9,TBC1D8B,Others,0.599,0.75
TBK1,IKBKE,Others,0.648,0.671
TBX10,TBX1,Others,0.53,0.697
TBX3,TBX2,Others,0.633,0.736
TBX5,TBX4,Others,0.557,0.717
TBXAS1,CYP3A5,Others,0.531,0.532
TCAF2,TCAF1,Others,0.71,0.71
TCF15,SCX,Others,0.552,0.641
TCF21,MSC,Others,0.664,0.704
TCF7,LEF1,Others,0.582,0.706
TCTN3,TCTN1,Others,0.488,0.607
TEC,ITK,Others,0.699,0.713
TENM4,TENM1,Others,0.554,0.565
TES,LMCD1,Others,0.376,0.443
TF,LTF,Others,0.57,0.584
TFAP2C,TFAP2A,Others,0.688,0.704
TFCP2L1,TFCP2,Others,0.624,0.75
TGFB2,TGFB1,Others,0.655,0.684
TGFB3,TGFB1,Others,0.652,0.715
TGFB3,TGFB2,Others,0.668,0.685
TGIF2LY,TGIF2LX,Others,0.712,0.75
THRB,THRA,Others,0.689,0.69
TJAP1,BEGAIN,Others,0.539,0.587
TLE2,TLE1,Others,0.657,0.691
TLR5,TLR2,Others,0.591,0.691
TLR6,TLR1,Others,0.692,0.717
TM2D3,TM2D2,Others,0,0
TMBIM1,FAIM2,Others,0.501,0.645
TMC8,TMC7,Others,0.141,0.75
TMEM120B,TMEM120A,Others,0.646,0.689
TMEM184B,TMEM184A,Others,0.714,0.75
TMEM59L,TMEM59,Others,0.15,0.25
TMEM63C,TMEM63A,Others,0.477,0.697
TMEM86B,TMEM86A,Others,0.417,0.75
TMPRSS6,PRSS21,Others,0.559,0.599
TMUB2,TMUB1,Others,0.7,0.75
TNFAIP3,OTUD7B,Others,0.64,0.715
TNFRSF10B,TNFRSF10A,Others,0.699,0.725
TNRC6B,TNRC6A,Others,0.724,0.743
TOR3A,TOR1B,Others,0.591,0.75
TOX4,TOX3,Others,0.613,0.643
TP63,TP53,Others,0.604,0.716
TP73,TP53,Others,0.631,0.713
TP73,TP63,Others,0.681,0.712
TPD52L1,TPD52,Others,0.582,0.61
TPH2,PAH,Others,0.557,0.587
TPTE2,TPTE,Others,0.735,0.746
TRABD2B,TRABD2A,Others,0.702,0.731
TRIM3,TRIM2,Others,0.616,0.7
TRIP10,FNBP1,Others,0.663,0.708
TRPC5,TRPC4,Others,0.685,0.715
TRPM3,TRPM1,Others,0.627,0.738
TRPM7,TRPM6,Others,0.616,0.633
TRPV6,TRPV5,Others,0.724,0.75
TSHZ3,TSHZ1,Others,0.608,0.75
TSPAN11,CD151,Others,0.346,0.75
TSPAN31,TSPAN13,Others,0.542,0.75
TSPAN5,TSPAN17,Others,0.576,0.724
TSPAN7,TSPAN6,Others,0.406,0.75
TSPAN9,CD82,Others,0.5,0.562
TSPYL6,TSPYL1,Others,0.577,0.7
TSSK2,TSSK1B,Others,0.724,0.725
TUBG2,TUBG1,Others,0.688,0.722
TXLNB,TXLNA,Others,0.5,0.75
TXLNG,TXLNA,Others,0.398,0.429
TYK2,JAK3,Others,0.591,0.624
TYW1B,TYW1,Others,0.5,0.75
UACA,RAI14,Others,0.446,0.688
UBE2G2,UBE2G1,Others,0.695,0.71
UBE3C,UBE3B,Others,0.639,0.75
UCHL3,UCHL1,Others,0.683,0.701
UGT3A2,UGT3A1,Others,0.639,0.65
UHRF1BP1L,UHRF1BP1,Others,0.389,0.5
UHRF2,UHRF1,Others,0.599,0.639
UNC13B,UNC13A,Others,0.677,0.733
UNC13C,UNC13B,Others,0.641,0.75
UNC5B,UNC5A,Others,0.504,0.55
UPP2,UPP1,Others,0.695,0.703
UQCRHL,UQCRH,Others,0.513,0.75
USF2,USF1,Others,0.695,0.726
USP19,USP11,Others,0.577,0.636
USP4,USP11,Others,0.626,0.682
USP9Y,USP9X,Others,0.545,0.739
UTY,KDM6A,Others,0.662,0.75
VASH2,VASH1,Others,0.641,0.679
VAV3,VAV1,Others,0.663,0.7
VEGFC,VEGFA,Others,0.617,0.724
VGF,PALM3,Others,0.373,0.496
VIL1,AVIL,Others,0.617,0.668
VPS13C,VPS13A,Others,0.557,0.566
WASF3,WASF2,Others,0.605,0.7
WASHC2C,WASHC2A,Others,0.601,0.75
WDR5B,WDR5,Others,0.415,0.75
WFIKKN2,WFIKKN1,Others,0.719,0.75
WNT10B,WNT10A,Others,0.664,0.676
WNT2B,WNT2,Others,0.645,0.685
WNT3A,WNT3,Others,0.663,0.689
WNT5B,WNT5A,Others,0.547,0.726
WNT7B,WNT7A,Others,0.624,0.717
WNT8B,WNT8A,Others,0.713,0.737
WNT9B,WNT9A,Others,0.707,0.72
WWC2,WWC1,Others,0.603,0.75
WWC3,WWC2,Others,0.75,0.75
WWP1,ITCH,Others,0.574,0.734
WWP2,WWP1,Others,0.602,0.743
XCL2,XCL1,Others,0.583,0.739
XIAP,BIRC3,Others,0.689,0.689
XPNPEP2,XPNPEP1,Others,0.464,0.469
YY2,YY1,Others,0.559,0.705
ZAP70,SYK,Others,0.656,0.71
ZBTB3,ZBTB18,Others,0.532,0.75
ZBTB8B,ZBTB46,Others,0.705,0.75
ZC3H12B,ZC3H12A,Others,0.368,0.75
ZC3H12C,ZC3H12B,Others,0.61,0.75
ZCCHC13,CNBP,Others,0.598,0.75
ZCCHC18,ZCCHC12,Others,0.5,0.75
ZDHHC2,ZDHHC15,Others,0.669,0.701
ZFAND6,ZFAND5,Others,0.498,0.699
ZFHX4,ZFHX3,Others,0.512,0.75
ZFP69B,ZFP69,Others,0.572,0.75
ZFYVE9,ZFYVE16,Others,0.685,0.696
ZMYM4,ZMYM2,Others,0.43,0.492
ZNF260,ZNF146,Others,0.624,0.714
ZNF280B,ZNF280A,Others,0.679,0.75
ZNF292,RLF,Others,0.694,0.75
ZNF346,ZMAT4,Others,0.3,0.75
ZNF384,ZNF362,Others,0.562,0.667
ZNF385D,ZNF385B,Others,0.542,0.625
ZNF426,ZNF266,Others,0.632,0.659
ZNF521,ZNF423,Others,0.595,0.676
ZNF630,ZNF300,Others,0.529,0.75
ZNF703,ZNF503,Others,0.642,0.689
ZNF81,ZNF175,Others,0.495,0.75
ZRANB3,SMARCAD1,Others,0.571,0.632
