"","V1","V2","V3","V4","hct116.T21.gi","hct116.T21.gi.sd","qvalue.x","significant.x","GM.T15.gi","GM.T15.gi.sd","qvalue.y","significant.y","genename.x","genename.y","gi"
"550","choose","pair","ENSG00000143753","ENSG00000168350",0.0769651696475139,0.186654329965918,0.999999999999713,"N",0.252207247073101,0.352659841190384,0.999999997646874,"N","DEGS1","DEGS2","others"
"551","choose","pair","ENSG00000170689","ENSG00000180806",0.0788747402881762,0.246877083425023,0.999999999999713,"N",0.276175500471075,0.266909334538413,0.999999997646874,"N","HOXB9","HOXC9","others"
"552","choose","pair","ENSG00000196781","ENSG00000065717",0.0818955930846673,0.204617883828806,0.999999999999713,"N",0.278673134290108,0.325991464999748,0.999999997646874,"N","TLE1","TLE2","others"
"553","choose","pair","ENSG00000172046","ENSG00000102226",0.0841700256541602,0.231551897476329,0.999999999999713,"N",0.68009533863172,0.280835620446359,0.999999997646874,"N","USP19","USP11","others"
"554","choose","pair","ENSG00000116209","ENSG00000105696",0.0861842875430929,0.172459453339959,0.999999999999713,"N",-0.00407698842016591,0.232589278961171,0.999999997646874,"N","TMEM59","TMEM59L","others"
"555","choose","pair","ENSG00000158006","ENSG00000146070",0.0892391851568284,0.234918329937081,0.999999999999713,"N",0.118479226964917,0.250500618601325,0.999999997646874,"N","PAFAH2","PLA2G7","others"
"556","choose","pair","ENSG00000149798","ENSG00000163171",0.0897199490737123,0.217730243134042,0.999999999999713,"N",0.103825580659677,0.289442834831248,0.999999997646874,"N","CDC42EP2","CDC42EP3","others"
"557","choose","pair","ENSG00000115762","ENSG00000021300",0.0908248394895244,0.18455667404978,0.999999999999713,"N",0.0787401860566137,0.230100494899435,0.999999997646874,"N","PLEKHB2","PLEKHB1","others"
"558","choose","pair","ENSG00000073792","ENSG00000136231",0.0916542644232337,0.205555522154974,0.999999999999713,"N",0.187006683302253,0.216289237799751,0.999999997646874,"N","IGF2BP2","IGF2BP3","others"
"559","choose","pair","ENSG00000100968","ENSG00000072736",0.0918036020707773,0.332129062574716,0.999999999999713,"N",0.0372256023145652,0.355832439083492,0.999999997646874,"N","NFATC4","NFATC3","others"
"560","choose","pair","ENSG00000141485","ENSG00000158296",0.0950190893838202,0.182364563467498,0.999999999999713,"N",0.133443598401201,0.24442817027266,0.999999997646874,"N","SLC13A5","SLC13A3","others"
"561","choose","pair","ENSG00000143942","ENSG00000128965",0.0960531169745238,0.194154662499743,0.999999999999713,"N",0.45724057301762,0.243736005397617,0.999999997646874,"N","CHAC2","CHAC1","others"
"562","choose","pair","ENSG00000147862","ENSG00000008441",0.0967927673875152,0.143955618258131,0.999999999999713,"N",-0.01472165218287,0.2531489173775,0.999999997646874,"N","NFIB","NFIX","others"
